Tag,Year,NumLeaves(t-1),NumLeaves(t),LLL(t-1),LLL(t),NumFlowers,AbortedBuds,Alive(t+1),Comments
285,1986,7,9,82,73,0,0,1,
285,1987,9,5,73,61,0,0,1,
285,1988,5,8,61,90,0,0,1,
285,1989,8,11,90,58,0,0,1,
285,1990,11,14,58,86,0,0,1,
285,1991,14,15,86,87,0,0,1,
285,1992,15,13,87,103,0,0,1,
285,1993,13,16,103,94,0,0,1,
285,1994,16,NA,94,NA,0,0,1,I think # leaves and LLL in wrong rows
285,1995,NA,21,NA,77,0,0,0,Under gopher dump
291RU,1983,NA,8,NA,48,0,0,1,
291RU,1984,8,10,48,59,0,0,1,
291RU,1985,10,14,59,74,0,0,1,
291RU,1986,14,18,74,70,0,0,1,
291RU,1987,18,27,70,64,0,0,1,
291RU,1988,27,21,64,85,0,0,1,
291RU,1989,21,23,85,54,0,0,1,
291RU,1990,23,21,54,86,0,0,1,
291RU,1991,21,25,86,81,0,0,1,
291RU,1992,25,20,81,75,0,0,1,
291RU,1993,20,21,75,80,0,0,0,
308,1982,NA,5,NA,15,0,0,1,
308,1983,5,5,15,20,0,0,1,
308,1984,5,5,20,32,0,0,1,
308,1985,5,7,32,42,0,0,1,
308,1986,7,8,42,47,0,0,1,
308,1987,8,6,47,45,0,0,1,
308,1988,6,8,45,56,0,0,1,
308,1989,8,9,56,45,0,0,1,
308,1990,9,12,45,60,0,0,1,
308,1991,12,12,60,57,0,0,1,
308,1992,12,12,57,70,0,0,1,
308,1993,12,12,70,52,0,0,1,
308,1994,12,10,52,58,0,0,1,
308,1995,10,11,58,60,0,0,1,
308,1996,11,12,60,60,0,0,1,"Columns offset by 1, but numbers make sense"
308,1997,12,15,60,62,0,0,1,
308,1998,15,18,62,83,0,0,1,
308,1999,18,23,83,75,0,0,0,
314,1982,NA,4,NA,18,0,0,1,
314,1983,4,4,18,20,0,0,1,
314,1984,4,5,20,40,0,0,1,
314,1985,5,6,40,42,0,0,1,
314,1986,6,5,42,48,0,0,1,
314,1987,5,6,48,45,0,0,1,
314,1988,6,8,45,55,0,0,1,
314,1989,8,7,55,46,0,0,1,
314,1990,7,10,46,89,0,0,1,
314,1991,10,11,89,82,0,0,1,
314,1992,11,14,82,94,0,0,1,
314,1993,14,15,94,89,0,0,1,
